# dx	dy
1.752114146947860718e-01 2.374956756830215454e-01
1.746999025344848633e-01 2.368639707565307617e-01
1.741891056299209595e-01 2.362329810857772827e-01
1.736790090799331665e-01 2.356026768684387207e-01
1.731696277856826782e-01 2.349730730056762695e-01
1.726609468460083008e-01 2.343441694974899292e-01
1.721529811620712280e-01 2.337159514427185059e-01
1.716457158327102661e-01 2.330884337425231934e-01
1.711391657590866089e-01 2.324616163969039917e-01
1.706333160400390625e-01 2.318354845046997070e-01
1.701281815767288208e-01 2.312100529670715332e-01
1.696237474679946899e-01 2.305853217840194702e-01
1.691200137138366699e-01 2.299612611532211304e-01
1.686169952154159546e-01 2.293379157781600952e-01
1.681146770715713501e-01 2.287152558565139771e-01
1.676130592823028564e-01 2.280932813882827759e-01
1.671121418476104736e-01 2.274720072746276855e-01
1.666119396686553955e-01 2.268514037132263184e-01
1.661124378442764282e-01 2.262315154075622559e-01
1.656136363744735718e-01 2.256122976541519165e-01
1.651155352592468262e-01 2.249937802553176880e-01
1.646181344985961914e-01 2.243759632110595703e-01
1.641214340925216675e-01 2.237588167190551758e-01
1.636254489421844482e-01 2.231423556804656982e-01
1.631301492452621460e-01 2.225265949964523315e-01
1.626355499029159546e-01 2.219115197658538818e-01
1.621416658163070679e-01 2.212971299886703491e-01
1.616484671831130981e-01 2.206834256649017334e-01
1.611559689044952393e-01 2.200704067945480347e-01
1.606641858816146851e-01 2.194580733776092529e-01
1.601730883121490479e-01 2.188464403152465820e-01
1.596826761960983276e-01 2.182354778051376343e-01
1.591929793357849121e-01 2.176252007484436035e-01
1.587039828300476074e-01 2.170156091451644897e-01
1.582156717777252197e-01 2.164066880941390991e-01
1.577280610799789429e-01 2.157984673976898193e-01
1.572411507368087769e-01 2.151909321546554565e-01
1.567549258470535278e-01 2.145840674638748169e-01
1.562694013118743896e-01 2.139778882265090942e-01
1.557845771312713623e-01 2.133723944425582886e-01
1.553004533052444458e-01 2.127675712108612061e-01
1.548170149326324463e-01 2.121634334325790405e-01
1.543342620134353638e-01 2.115599811077117920e-01
1.538522094488143921e-01 2.109572142362594604e-01
1.533708572387695312e-01 2.103551179170608521e-01
1.528901904821395874e-01 2.097536921501159668e-01
1.524102091789245605e-01 2.091529518365859985e-01
1.519309282302856445e-01 2.085528969764709473e-01
1.514523476362228394e-01 2.079535126686096191e-01
1.509744375944137573e-01 2.073548138141632080e-01
1.504972279071807861e-01 2.067567855119705200e-01
1.500207185745239258e-01 2.061594277620315552e-01
1.495448946952819824e-01 2.055627554655075073e-01
1.490697562694549561e-01 2.049667537212371826e-01
1.485953032970428467e-01 2.043714225292205811e-01
1.481215357780456543e-01 2.037767767906188965e-01
1.476484686136245728e-01 2.031828016042709351e-01
1.471760869026184082e-01 2.025894969701766968e-01
1.467043906450271606e-01 2.019968777894973755e-01
1.462333798408508301e-01 2.014049142599105835e-01
1.457630544900894165e-01 2.008136361837387085e-01
1.452934294939041138e-01 2.002230137586593628e-01
1.448244750499725342e-01 1.996330767869949341e-01
1.443562060594558716e-01 1.990438103675842285e-01
1.438886225223541260e-01 1.984552145004272461e-01
1.434217393398284912e-01 1.978672891855239868e-01
1.429555267095565796e-01 1.972800344228744507e-01
1.424899995326995850e-01 1.966934502124786377e-01
1.420251578092575073e-01 1.961075365543365479e-01
1.415610015392303467e-01 1.955222785472869873e-01
1.410975307226181030e-01 1.949377059936523438e-01
1.406347304582595825e-01 1.943537890911102295e-01
1.401726305484771729e-01 1.937705427408218384e-01
1.397112011909484863e-01 1.931879669427871704e-01
1.392504423856735229e-01 1.926060467958450317e-01
1.387903839349746704e-01 1.920248121023178101e-01
1.383309960365295410e-01 1.914442330598831177e-01
1.378722935914993286e-01 1.908643096685409546e-01
1.374142616987228394e-01 1.902850717306137085e-01
1.369569152593612671e-01 1.897064894437789917e-01
1.365002542734146118e-01 1.891285628080368042e-01
1.360442638397216797e-01 1.885513067245483398e-01
1.355889588594436646e-01 1.879747062921524048e-01
